category,product_name,price,per_unit_price
produce,GoodLeafGood Leaf Baby Arugula142 g,$5.99ea,$4.22/ 100g
produce,Jamaican Ginger,$4.05(est.)ea,$17.61/ 1kg
produce,Wholly GuacamoleMinis227 g,$5.99ea,$2.64/ 100g
produce,7DDried Mangos140 g,$9.99ea,$7.14/ 100g
produce,PC Blue MenuBlue Menu Unsalted Virginia Peanuts454 g,$3.99ea,$0.88/ 100g
produce,President's ChoiceBacon Caesar Chop Salad Kit326 g,$6.49ea,$1.99/ 100g
produce,BolthouseAmazing Mango946 ml,$6.99ea,$0.74/ 100ml
produce,Fresh AttitudeSpring Mix Salad with Toppings Single Sized155 g,$5.99ea,$3.86/ 100g
produce,MannsSnap Peas227 g,$5.49ea,$2.42/ 100g
produce,Pineapple Cubed Large1 kg,$8.00ea,$1.03/ 100g
produce,"Snack Cup, Veggies & Dip200 g",$5.00ea,$2.35/ 100g
produce,Seafood Vinaigrette Salad,$4.38(est.)ea,$21.90/ 1kg
produce,"Tiffany GatesCauliflower, Kale & Cranberry Salad",$14.90/1 kg,$14.90/ 1kg
produce,"President's ChoiceLive Lettuce Red/Green, 2-pack1 ea",$5.49ea,$5.49/ 1ea
produce,PC OrganicsOrganics Portobello Mushroom Caps240 g,$5.99ea,$2.50/ 100g
produce,GreenhouseOrganic Shake Vanilla Almond Brekky300 ml,$7.49ea,$2.50/ 100g
produce,Premium Sweet Kale Power Salad272 g,$8.00ea,$2.94/ 100g
produce,GreenhouseGinger Tumeric Kombucha340 ml,$4.99ea,$1.47/ 100ml
produce,AuroraSundried Tomatoes85 g,$2.99ea,$3.32/ 100g
produce,Large House Cheddar Salad648 g,$11.00ea,$1.70/ 100g
produce,"President's ChoiceLive Lettuce Trio, 2-pack1 ea",$5.49ea,$5.49/ 1ea
produce,Fruit Salad Large750 g,$9.00ea,$1.20/ 100g
produce,WellCold Pressed Juice Be Well  333 ml,$5.99ea,$1.80/ 100ml
produce,Greenhouse Fiery Ginger60 ml,$3.99ea,$6.65/ 100ml
produce,Premium Garden Veg Romaine310 g,$8.00ea,$2.58/ 100g
produce,Cooking Spinach227 g,$3.49ea,$1.54/ 100g
produce,"President's ChoiceLive Lettuce Green, 2-pack1 ea",$5.49ea,$5.49/ 1ea
produce,Petite Carrots340 g,$3.49ea,$1.03/ 100g
produce,"Pineapple Vegetable Kebab, 4 pack764 g",$9.00ea,$1.18/ 100g
produce,Mini Greek Salad155 g,$5.00ea,$3.23/ 100g
produce,Golden Delicious Apples,$1.21(est.)ea,$5.49/ 1kg
produce,Organic Dried Apricots250 g,$5.99ea,$2.40/ 100g
produce,Greek Yogurt Parfait290 g,$5.00ea,$1.72/ 100g
produce,President's ChoiceCaesar Salad Kit282 g,$4.99ea,$1.77/ 100g
produce,Snack  Platter380 g,$7.00ea,$1.84/ 100g
produce,Cubanelle Peppers,$1.31(est.)ea,$7.69/ 1kg
produce,President's ChoiceFinger Hot Hot Peppers226 g,$5.99ea,$2.65/ 100g
produce,Seedless Watermelon Halves1 ea,$7.00ea,$7.00/ 1ea
produce,"No NameRoasted Peanuts, No Salt907 g",$6.99ea,$0.77/ 100g
produce,President's ChoiceSalted California Pistachios454 g,$10.99ea,$2.42/ 100g
produce,"MarzettiVeggie Dip, Light Ranch340 g",$4.99ea,$1.47/ 100g
produce,Bard Valley Natural Delights Pitted Medjool Dates340 g,$10.99ea,$3.23/ 100g
produce,"Mushroom Kebab, 2 pack302 g",$5.00ea,$1.66/ 100g
produce,"MarzettiVeggie Dip, Spinach340 g",$4.99ea,$1.47/ 100g
produce,Small Cubed Cantaloupe300 g,$6.00ea,$2.00/ 100g
produce,"Garlic, Peeled250 g",$3.49ea,$1.40/ 100g
produce,Carrots & Cucumber 255 g,$4.00ea,$1.57/ 100g
produce,Farmer's MarketCortland Apples4 lb bag,$7.99ea,$0.44/ 100g
produce,President's ChoiceMini Sweet Potatoes1.5 lb bag,$4.99ea,$0.73/ 100g
produce,Premium Baby Spinach With Chicken294 g,$8.00ea,$2.72/ 100g
produce,President's ChoiceGreen Thai Hot Peppers75 g,$5.99ea,$7.99/ 100g
produce,Red Seedless Watermelon1 ea,$12.99ea,$12.99/ 1ea
produce,Rutabaga,$4.52(est.)ea,$2.84/ 1kg
produce,Farmer's MarketSpartan Apples4 lb bag,$6.99ea,$0.39/ 100g
produce,"Chanterelle Mushrooms, Dried14 g",$5.49ea,$39.21/ 100g
produce,Flavour Burst Sungold Golden Kiwi454 g,$6.49ea,$1.43/ 100g
produce,Organic Grape Tomatoes680 g,$8.99ea,$1.32/ 100g
produce,"Halloween Decorative Mini Corn, 3 Pack 1 ea",$2.49ea,$2.49/ 1ea
produce,President's ChoiceSavory28 g,$2.99ea,
produce,PC OrganicsOrganics Whole Cremini Mushrooms227 g,$2.99ea,$1.32/ 100g
produce,PC OrganicsOrganic Yellow Potatoes3 lb bag,$5.99ea,$0.44/ 100g
produce,Gold Cored Pineapple0.6 kg,$5.99ea,$1.00/ 100g
produce,Lebanese Tabbouleh Salad,$5.51(est.)ea,$14.90/ 1kg
produce,"GreenhouseRaw, Organic Juice Farma-C300 ml",$7.49ea,$2.50/ 100ml
produce,Berry Berry Small295 g,$6.00ea,$0.60/ 100g
produce,Collard Greens1 bunch,$3.99ea,$3.99/ 1ea
produce,PC OrganicsOrganics Whole Oyster Mushrooms100 g,$3.99ea,$3.99/ 100g
produce,Striped Enjoya Bell Pepper,$2.75(est.)ea,$11.00/ 1kg
produce,President's ChoiceChopped Mexican Style Street Corn Salad Kit285 g,$6.49ea,$2.28/ 100g
produce,PC OrganicsHoneycrisp Apples 3Lb Bag1.36 kg,$10.99ea,$0.81/ 100g
produce,President's ChoiceSweet Baby Lettuce142 g,$4.99ea,$3.51/ 100g
produce,Santa Claus Melons,$9.60(est.)ea,$5.05/ 1kg
produce,Fresh Coconut Young1 ea,$4.99ea,$4.99/ 1ea
produce,PC OrganicsOrganic Cremini Mushrooms680 g,$8.49ea,$1.25/ 100g
produce,Paula Red Apples,$1.35(est.)ea,$5.49/ 1kg
produce,PC OrganicsOrganic Peppers2 pack,$5.99ea,$3.00/ 1ea
produce,President's ChoiceTarragon28 g,$2.99ea,
produce,Farmer's MarketHoneycrisp Apples4 lb bag,$10.99ea,$0.61/ 100g
produce,President's ChoiceAnaheim Hot Peppers170 g,$5.99ea,$3.52/ 100g
produce,PC OrganicsBaby Arugula142 g,$5.99ea,$4.22/ 100g
produce,PC OrganicsPeach907 g,$8.99ea,$0.99/ 100g
produce,Farmer's MarketCortland Apples4 lb bag,$7.99ea,$0.44/ 100g
produce,President's ChoiceMini Sweet Potatoes1.5 lb bag,$4.99ea,$0.73/ 100g
produce,"MarzettiVeggie Dip, Light Ranch340 g",$4.99ea,$1.47/ 100g
produce,"Halloween Decorative Mini Corn, 3 Pack 1 ea",$2.49ea,$2.49/ 1ea
produce,Farmer's MarketYellow Potato 10lb Bag10 lb bag,$6.99ea,$0.15/ 100g
produce,Farmer's MarketRed Onions3 lb bag,$4.99ea,$0.37/ 100g
produce,President's ChoiceDill28 g,$2.99ea,
produce,PC OrganicsOrganic Russet Potatoes3 lb bag,$5.99ea,$0.44/ 100g
produce,"No NameRoasted Peanuts, No Salt907 g",$6.99ea,$0.77/ 100g
produce,President's ChoiceSalted California Pistachios454 g,$10.99ea,$2.42/ 100g
produce,Bard Valley Natural Delights Pitted Medjool Dates340 g,$10.99ea,$3.23/ 100g
produce,"Mushroom Kebab, 2 pack302 g",$5.00ea,$1.66/ 100g
produce,"MarzettiVeggie Dip, Spinach340 g",$4.99ea,$1.47/ 100g
produce,Tiffany GatesTiffany Gate Feta Fiesta Kale Salad,$21.90/1 kg,$21.90/ 1kg
produce,Grapes Mixed300 g,$5.00ea,$0.50/ 100g
produce,President's ChoiceCrumbled Cauliflower340 g,$4.99ea,$1.47/ 100g
produce,Medjool Dates454 g,$8.99ea,$1.98/ 100g
