category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
bakery,DItaliano,Thick Sliced Brioche-Style Loaf,DItalianoThick Sliced Brioche-Style Loaf620 g,$3.69ea,,$0.60/ 100g,False,
bakery,La Cocina,Corn Tortillas,La CocinaCorn Tortillas240 g,$2.59ea,,$1.08/ 100g,False,
bakery,President's Choice,Plain Barbari Flatbread,President's ChoicePlain Barbari Flatbread250 g,$2.99ea,,$1.20/ 100g,False,
bakery,Dimpflmeier,Leinsamen Flaxseed & Rye Bread,DimpflmeierLeinsamen Flaxseed & Rye Bread454 g,$3.89ea,,$0.86/ 100g,False,
bakery,Furlani,Ready Bake Garlic Toast Texas-Style Bread,FurlaniReady Bake Garlic Toast Texas-Style Bread16x40.0 g,$4.49ea,,$0.70/ 100g,False,
bakery,No Name,10 Wheat Tortillas,No Name10 Wheat Tortillas320 g,$2.69ea,,$0.84/ 100g,False,
bakery,President's Choice,Brioche Loaf,President's ChoiceBrioche Loaf400 g,$5.49ea,,$1.37/ 100g,False,
bakery,,Classico White Bread Italian Style Thick Slice,Classico White Bread Italian Style Thick Slice675 g,$3.99ea,,$0.59/ 100g,False,
bakery,Casa Mendosa,"10 Medium Tortillas, Whole Wheat","Casa Mendosa10 Medium Tortillas, Whole Wheat340 g",$2.99ea,,$0.88/ 100g,False,
bakery,No Name,"Bagel Cinnamon Raisin, 6 pack","No NameBagel Cinnamon Raisin, 6 pack510 g",$2.69ea,,$0.53/ 100g,False,
bakery,Dimpflmeier,7 Grains Bread,Dimpflmeier7 Grains Bread454 g,$4.99ea,,$1.10/ 100g,False,
bakery,Dempster,100% Whole Wheat Bread,Dempster100% Whole Wheat Bread675 g,$3.39ea,,$0.50/ 100g,False,
bakery,Country Harvest,Original Bagels,Country HarvestOriginal Bagels450 g,$2.99ea,,$0.66/ 100g,False,
bakery,PC Blue Menu,100% Whole Grain Tortillas,PC Blue Menu100% Whole Grain Tortillas6x65.0 g,$3.49ea,,$0.89/ 100g,False,
bakery,Dimpflmeier,Bread Original Swedish Style Light Rye,DimpflmeierBread Original Swedish Style Light Rye454 g,$3.89ea,,$0.86/ 100g,False,
bakery,Dimpflmeier,100% Rye Bread With Flaxseeds,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.99ea,,$1.10/ 100g,False,
bakery,No Name,Bagel Poppy Seed,No NameBagel Poppy Seed510 g,$2.69ea,,$0.53/ 100g,False,
bakery,Hostess,Twinkies Cakes,HostessTwinkies Cakes202 g,$2.99ea,,$1.48/ 100g,False,
bakery,Farmer's Market,Pecan Butter Tarts,Farmer's MarketPecan Butter Tarts6x85.0 g,$4.50ea,,$0.88/ 100g,False,
bakery,La Baguetterie,White Miche Sliced,La BaguetterieWhite Miche Sliced800 g,$4.00ea,,$0.50/ 100g,False,
bakery,La Baguetterie,Multigrain Miche Sliced,La BaguetterieMultigrain Miche Sliced600 g,$4.00ea,,$0.67/ 100g,False,
bakery,,Old Fashioned Apple Pie,Old Fashioned Apple Pie114 g,$1.50ea,,$1.32/ 100g,False,
bakery,Farmer's Market,Rhubarb Strawberry Pie 10 Inch,Farmer's MarketRhubarb Strawberry Pie 10 Inch1 kg,$7.00ea,$6.00ea,$0.60/ 100g,True,saleEnds 03/01
bakery,Farmer's Market,Angel Food Cake,Farmer's MarketAngel Food Cake283 g,$3.29ea,,$1.16/ 100g,False,
bakery,Old Mill,"Loaf Cakes, Club Pack","Old MillLoaf Cakes, Club Pack1170 g",$7.00ea,,$0.60/ 100g,False,
