category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
produce,Farmer's Market,Red Potatoes 10lb Bag,Farmer's MarketRed Potatoes 10lb Bag10 lb bag,$6.99ea,,$0.15/ 100g,False,
produce,Loop,Cold-Pressed Juice Magic Sip,LoopCold-Pressed Juice Magic Sip1000 ml,$8.99ea,,$8.99/ 100ml,False,
produce,Greenhouse,Ultraviolet Organic Kombucha,GreenhouseUltraviolet Organic Kombucha1000 ml,$9.99ea,,$1.00/ 100ml,False,
produce,Marzetti,Marzetti Chocolate Dip 250g,MarzettiMarzetti Chocolate Dip 250g250 g,$5.99ea,,$2.40/ 100g,False,
produce,,Romaine Salad Family Size,Romaine Salad Family Size1 kg,$15.00ea,,$1.50/ 100g,False,
produce,,LoBok (Daikon Radish),LoBok (Daikon Radish),$3.09(est.)ea,,$3.29/ 1kg,False,
produce,Well,Cold Pressed Juice C Well  ,WellCold Pressed Juice C Well  333 ml,$5.99ea,,$1.80/ 100ml,False,
produce,,Organic Raspberries 1/2 pint,Organic Raspberries 1/2 pint170 g,$6.49ea,,$3.82/ 100g,False,
produce,,Lunch Size Veg and Dip 600G,Lunch Size Veg and Dip 600G1 kg,$8.00ea,,$1.33/ 100g,False,
produce,,Chick Pea/Artichoke/Sundried Tomato Salad,Chick Pea/Artichoke/Sundried Tomato Salad,$7.79(est.)ea,,$22.90/ 1kg,False,
produce,,Coloured Carrots,Coloured Carrots454 g,$3.99ea,,$0.88/ 100g,False,
produce,,"Mexican Style Beef Taco Salad, Family Size","Mexican Style Beef Taco Salad, Family Size1.285 kg",$19.00ea,,$1.48/ 100g,False,
produce,,Ginger & Lime Infused Lemonade ,Ginger & Lime Infused Lemonade 473 ml,$6.00ea,,$1.27/ 100ml,False,
produce,Farmer's Market,Roma Tomatoes,Farmer's MarketRoma Tomatoes1 ea,$9.99ea,,$0.73/ 100g,False,
produce,,Atemoya,Atemoya1 ea,$5.49ea,,$5.49/ 1ea,False,
produce,,Platter Veggie Small,Platter Veggie Small850 g,$14.00ea,,$1.61/ 100g,False,
produce,,Organic Dried Figs,Organic Dried Figs250 g,$5.99ea,,$2.40/ 100g,False,
produce,Bolthouse,"Juice, 100% Pomegranate","BolthouseJuice, 100% Pomegranate1.54 l",$12.99ea,,$0.84/ 100ml,False,
produce,President's Choice,Mixed Greens,President's ChoiceMixed Greens0.34 kg,$4.49ea,,$1.32/ 100g,False,
produce,Taylor Farms,Broccoli Crunch Salad Kit,Taylor FarmsBroccoli Crunch Salad Kit360 g,$6.99ea,,$1.94/ 100g,False,
produce,Renees,Dill Refrigerated Dip,ReneesDill Refrigerated Dip283 g,$5.99ea,,$2.12/ 100g,False,
