category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
household_items,,Karcher NT 68/1 Wet/Dry Vacuum #11034940,Karcher NT 68/1 Wet/Dry Vacuum #11034940,"$1,444.99ea",,,False
household_items,,Hertel All Purpose Disinfectant Spray Cleaner Pomeg & Mango 700ML - Pack of 3,Hertel All Purpose Disinfectant Spray Cleaner Pomeg & Mango 700ML - Pack of 3,$26.97ea,,,False
household_items,,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,Esteam Degreaser / Cleaner 1 Gallon-Case of 4,$129.99ea,,,False
household_items,,Little Tree Air Freshener Summer Linen,Little Tree Air Freshener Summer Linen,$23.20ea,,,False
household_items,,Shop-Vac 15-22 US Gallon 3 Pack Filter Bags Type G,Shop-Vac 15-22 US Gallon 3 Pack Filter Bags Type G,$29.99ea,,,False
household_items,,Water Spray Mop Washable Microfiber Clean Degerming Spray Mop,Water Spray Mop Washable Microfiber Clean Degerming Spray Mop,$39.99ea,,,False
household_items,,Karcher NT 68/1 Wet/Dry Vacuum #11034940,Karcher NT 68/1 Wet/Dry Vacuum #11034940,"$1,444.99ea",,,False
household_items,,Miele DGClean 250 ml for steam combination ovens,Miele DGClean 250 ml for steam combination ovens,$18.99ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,$599.98ea,,,False
household_items,,Forever New Gentle Wash Detergent Scent Free - 1 Kg (32 Wash Loads),Forever New Gentle Wash Detergent Scent Free - 1 Kg (32 Wash Loads),$19.99ea,,,False
household_items,,PowAir® Odour Removing Tropical Breeze Gel Bucket- 4 L / 1 Gal,PowAir® Odour Removing Tropical Breeze Gel Bucket- 4 L / 1 Gal,$59.89ea,,,False
household_items,,"Royal Dirt Devil OEM Hepa Bag Type ""AC""","Royal Dirt Devil OEM Hepa Bag Type ""AC""",$17.99ea,,,False
household_items,,Miele DishClean Dishwasher Conditioner (160 g),Miele DishClean Dishwasher Conditioner (160 g),$12.95ea,,,False
household_items,,Numatic George GVE370 Wet/Dry Commercial Canister Vacuum,Numatic George GVE370 Wet/Dry Commercial Canister Vacuum,$999.00ea,,,False
household_items,,VENTRAY 150W UFO LED Grow Light IP55 Waterproof Full-Spectrum High Bay LED Lights High-efficiency Horticultural Light Lamp Bulb with Long Lifespan for Indoor Plant Greenhouse Sunroom Balcony,VENTRAY 150W UFO LED Grow Light IP55 Waterproof Full-Spectrum High Bay LED Lights High-efficiency Horticultural Light Lamp Bulb with Long Lifespan for Indoor Plant Greenhouse Sunroom Balcony,$99.99ea,,,False
household_items,,Esteam Tile & Grout Sealer 1 Gallon,Esteam Tile & Grout Sealer 1 Gallon,$319.99ea,,,False
household_items,,Eco Egg Laundry Egg 210 washes Fresh Linen,Eco Egg Laundry Egg 210 washes Fresh Linen,$29.99ea,,,False
household_items,,Vapamore MR-100 Primo Steam Cleaner - Multipurpose Cleans Floors Kitchens Auto Detailing and Bathrooms - Chemical Free Retractable Cord Onboard Tools and Accessories (W/Extra Pads),Vapamore MR-100 Primo Steam Cleaner - Multipurpose Cleans Floors Kitchens Auto Detailing and Bathrooms - Chemical Free Retractable Cord Onboard Tools and Accessories (W/Extra Pads),$479.00ea,,,False
household_items,,Esteam Vanish Fusion Oxidizing Spotter Litre 1 Gallon-Case of 4,Esteam Vanish Fusion Oxidizing Spotter Litre 1 Gallon-Case of 4,$175.99ea,,,False
household_items,,Wet/Dry Vacuum 10-15 U.S Gallon Replacement Standard Filter Bags,Wet/Dry Vacuum 10-15 U.S Gallon Replacement Standard Filter Bags,$25.99ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | Electric Power Head Nozzle with Height Adjustment | Telescopic Wand with Deluxe Tool Set,VPC Central Vacuum Accessory Kit | Premium Hose | Electric Power Head Nozzle with Height Adjustment | Telescopic Wand with Deluxe Tool Set,$369.98ea,,,False
household_items,,Shop-Vac 5-10 US Gallon Tear Resistant Wet/Dry Filter Bags,Shop-Vac 5-10 US Gallon Tear Resistant Wet/Dry Filter Bags,$49.99ea,,,False
household_items,,Miele Boost Compact CX1 Bagless Canister,Miele Boost Compact CX1 Bagless Canister,$699.99ea,,,False
household_items,,"Oreck Upright Paper Bag Type ""C""","Oreck Upright Paper Bag Type ""C""",$17.99ea,,,False
household_items,,"CanaVac CV-587 Ethos Series Central Vacuum Cleaner | 540 Airwatts Reliable Flow-Thru Motor Up To 3,500 Sq Ft | with the VPC Ultra Electric Package","CanaVac CV-587 Ethos Series Central Vacuum Cleaner | 540 Airwatts Reliable Flow-Thru Motor Up To 3,500 Sq Ft | with the VPC Ultra Electric Package",$699.00ea,,,False
household_items,,Johnny Vac JV420HD2 22Gal Commercial Wet/Dry vacuum With Electrical Outlet,Johnny Vac JV420HD2 22Gal Commercial Wet/Dry vacuum With Electrical Outlet,$898.99ea,,,False
household_items,,Eureka/ Electrolux 3M Paper Bag,Eureka/ Electrolux 3M Paper Bag,$8.99ea,,,False
household_items,,Johnny Vac 15 Gal JV58H HEPA Certified Commercial Vacuum,Johnny Vac 15 Gal JV58H HEPA Certified Commercial Vacuum,"$1,369.99ea",,,False
household_items,,MATCC 2 in 1 Window Squeegee Cleaner Kit with 48'' Extendable Handle for Cleaning Outdoor Indoor Windows Cars - MCW003,MATCC 2 in 1 Window Squeegee Cleaner Kit with 48'' Extendable Handle for Cleaning Outdoor Indoor Windows Cars - MCW003,$24.99ea,,,False
household_items,,Miele Boost CX1 Parquet Compact Bagless Canister,Miele Boost CX1 Parquet Compact Bagless Canister,$799.99ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button with Bonus Tools,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button with Bonus Tools,$639.98ea,,,False
household_items,,Miele UltraWhite Detergent (2.5 kg ),Miele UltraWhite Detergent (2.5 kg ),$34.99ea,,,False
household_items,,"Bosch Canister Paper Bag Type ""G""","Bosch Canister Paper Bag Type ""G""",$20.99ea,,,False
household_items,,"Royal OEM Paper Bag Type ""Y""","Royal OEM Paper Bag Type ""Y""",$32.99ea,,,False
household_items,,Esteam GP 2000 1 Gallon-Case of 4,Esteam GP 2000 1 Gallon-Case of 4,$149.99ea,,,False
household_items,,Saniblend Cleaner/Deodorizer/Disinfectant Spray Bottle Lemon Scent-1.1 L,Saniblend Cleaner/Deodorizer/Disinfectant Spray Bottle Lemon Scent-1.1 L,$29.99ea,,,False
household_items,,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,$22.00ea,,,False
household_items,,Lindhaus Dynamic 450E Dual Motor Commercial Upright Vacuum Cleaner,Lindhaus Dynamic 450E Dual Motor Commercial Upright Vacuum Cleaner,$899.99ea,,,False
household_items,,Original Liquid Bleach - 2.4L,Original Liquid Bleach - 2.4L,$39.39ea,,,False
household_items,,Johnny Vac JV315PS 7.6Gal Commercial Wet/Dry Vacuum With Electrical Outlet,Johnny Vac JV315PS 7.6Gal Commercial Wet/Dry Vacuum With Electrical Outlet,$829.99ea,,,False
household_items,,Johnny Vac JV5/AS5 HEPA Bags-5Pk,Johnny Vac JV5/AS5 HEPA Bags-5Pk,$23.99ea,,,False
household_items,,Esteam Formula 888 Carpet Extraction Detergent 1 Gallon-Case of 4,Esteam Formula 888 Carpet Extraction Detergent 1 Gallon-Case of 4,$199.99ea,,,False
household_items,,Esteam Pre-Max Maximum Power Carpet Prespray 1 Gallon-Case of 4,Esteam Pre-Max Maximum Power Carpet Prespray 1 Gallon-Case of 4,$269.99ea,,,False
household_items,,AirStream AS200 Canister HEPA Bags,AirStream AS200 Canister HEPA Bags,$18.99ea,,,False
household_items,,"Eureka / Sanitaire / Kenmore 3M Filtrete Bag ""F&G""","Eureka / Sanitaire / Kenmore 3M Filtrete Bag ""F&G""",$11.99ea,,,False
