category,brand,product,product_name,price,per_unit_price
bakery,Molinaro's,"Pizza Starter Kit, Deep Dish","Molinaro'sPizza Starter Kit, Deep Dish890 g",$5.49ea,$0.62/ 100g
bakery,,1/2 Slab Strawberry Short Cake *MINIMUM 24 HOURS NOTICED REQUIRED*,1/2 Slab Strawberry Short Cake *MINIMUM 24 HOURS NOTICED REQUIRED*2.4 kg,$49.99ea,$2.08/ 100g
bakery,Stonemill,"Authentic Bread, Sourdough Rye Multigrain ","StonemillAuthentic Bread, Sourdough Rye Multigrain 550 g",$4.09ea,$0.74/ 100g
bakery,President's Choice,Italian Style Bread Crumbs,President's ChoiceItalian Style Bread Crumbs275 g,$1.99ea,$0.72/ 100g
bakery,,"100% Whole Wheat Bread, Sliced","100% Whole Wheat Bread, Sliced450 g",$2.99ea,$0.66/ 100g
bakery,,"Sourdough Bread, Unsliced","Sourdough Bread, Unsliced675 g",$4.79ea,$0.71/ 100g
bakery,Suraj,Naan Orginal 10 Pk,SurajNaan Orginal 10 Pk1 ea,$5.29ea,$5.29/ 1ea
bakery,Dimpflmeier,Bread Original Swedish Style Light Rye,DimpflmeierBread Original Swedish Style Light Rye454 g,$4.19ea,$0.92/ 100g
bakery,Dimpflmeier,Klosterbrot Bread,DimpflmeierKlosterbrot Bread454 g,$4.49ea,$0.99/ 100g
bakery,Stonemill,Wholesome Bread Loaf Quinoa & Flax  ,StonemillWholesome Bread Loaf Quinoa & Flax  600 g,$4.19ea,$0.70/ 100g
bakery,Rudolphs,Five Grain Bread,RudolphsFive Grain Bread680 g,$4.99ea,$0.73/ 100g
bakery,Farmer's Market,Chocolate Cake,Farmer's MarketChocolate Cake850 g,$15.99ea,$1.88/ 100g
bakery,La Rocca,Milk Chocolate Caramel Cake    ,La RoccaMilk Chocolate Caramel Cake    1.4 kg,$29.99ea,$2.73/ 100g
bakery,Dimpflmeier,100% Rye Bread With Flaxseeds,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.79ea,$1.06/ 100g
bakery,Casa Mendosa,"6 Large Tortillas, Tomato Salsa","Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$4.79ea,$1.25/ 100g
bakery,,White Chocolate Raspberry Cake,White Chocolate Raspberry Cake700 g,$12.99ea,$1.86/ 100g
bakery,,"Blueberry Pie, 8 Inch","Blueberry Pie, 8 Inch680 g",$5.99ea,$0.88/ 100g
bakery,Create A Treat,Gingerbread Family Cookie Kit,Create A TreatGingerbread Family Cookie Kit1 kg,$7.99ea,$1.45/ 100g
bakery,President's Choice,Brioche Mini Rolls,President's ChoiceBrioche Mini Rolls400 g,$5.49ea,$1.37/ 100g
bakery,LA FOURNEE DOREE, Croissant Bun,LA FOURNEE DOREE Croissant Bun300 g,$6.99ea,$2.33/ 100g
bakery,Dempster,Plain English Muffins,DempsterPlain English Muffins6x57.0 g,$3.39ea,$0.99/ 100g
bakery,,Croissant Plain Mini 10 Pack,Croissant Plain Mini 10 Pack300 g,$3.99ea,$1.33/ 100g
bakery,No Name,Bagel Poppy Seed,No NameBagel Poppy Seed510 g,$2.89ea,$0.57/ 100g
bakery,DItaliano,Crustini Hamburger Buns,DItalianoCrustini Hamburger Buns568 g,$3.99ea,$0.70/ 100g
bakery,PC Blue Menu,White Whole Grain Thin Buns,PC Blue MenuWhite Whole Grain Thin Buns8x60.0 g,$3.79ea,$0.79/ 100g
bakery,,"Red Velvet Cake 8""","Red Velvet Cake 8""1300 g",$29.99ea,$2.31/ 100g
bakery,,"White Bread, Unsliced","White Bread, Unsliced450 g",$2.99ea,$0.66/ 100g
bakery,two-bite,Christmas Mini Cupcakes Vanilla Pack Of 12,two-biteChristmas Mini Cupcakes Vanilla Pack Of 12284 g,$4.99ea,$1.76/ 100g
bakery,Farmer's Market,Lemon Curd Cake,Farmer's MarketLemon Curd Cake475 g,$6.99ea,$1.47/ 100g
bakery,Farmer's Market,Cinnamon Coffee Cake,Farmer's MarketCinnamon Coffee Cake500 g,$6.00ea,$1.20/ 100g
bakery,President's Choice,Traditional Naan,President's ChoiceTraditional Naan250 g,$3.29ea,$1.32/ 100g
bakery,President's Choice,"Tramezzini Crustless Bread, White","President's ChoiceTramezzini Crustless Bread, White250 g",$2.39ea,$0.96/ 100g
bakery,Dimpflmeier,Leinsamen Flaxseed & Rye Bread,DimpflmeierLeinsamen Flaxseed & Rye Bread454 g,$4.49ea,$0.99/ 100g
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$3.59ea,$0.72/ 100g
bakery,,Classico White Bread Italian Style Thick Slice,Classico White Bread Italian Style Thick Slice675 g,$3.69ea,$0.55/ 100g
bakery,President's Choice,Brandy Fruitcake,President's ChoiceBrandy Fruitcake524 g,$9.99ea,$1.91/ 100g
bakery,President's Choice,Multigrain Flatbread,President's ChoiceMultigrain Flatbread300 g,$2.49ea,$0.83/ 100g
bakery,Dempster,100% Whole Wheat Bread,Dempster100% Whole Wheat Bread675 g,$3.99ea,$0.59/ 100g
bakery,,PC Multigrain Laiser 6S,PC Multigrain Laiser 6S400 g,$3.99ea,$1.00/ 100g
bakery,ACE,Brioche Sliced Loaf,ACEBrioche Sliced Loaf380 g,$6.49ea,$1.71/ 100g
bakery,Frontier Bakery,Lebanese Style White Pita,Frontier BakeryLebanese Style White Pita330 g,$1.39ea,$0.42/ 100g
bakery,ACE,Ciabatta Piccola ,ACECiabatta Piccola 800 g,$6.29ea,$0.79/ 100g
bakery,President's Choice,Plain Barbari Flatbread,President's ChoicePlain Barbari Flatbread250 g,$3.49ea,$1.40/ 100g
bakery,,"Cake, Round White","Cake, Round White800 g",$19.99ea,$2.50/ 100g
bakery,,Chocolate Chip Cookie 18 Pk,Chocolate Chip Cookie 18 Pk774 g,$6.99ea,$0.90/ 100g
bakery,,Croissant Chocolatine 4 Pack,Croissant Chocolatine 4 Pack324 g,$3.99ea,$1.23/ 100g
bakery,,Dutie Donuts 6 pack ,Dutie Donuts 6 pack 750 g,$7.99ea,$1.07/ 100g
bakery,PC Blue Menu,100% Whole Wheat Bagels,PC Blue Menu100% Whole Wheat Bagels336 g,$4.49ea,$1.34/ 100g
bakery,Molinaro's,"Pizza Starter Kit, Deep Dish","Molinaro'sPizza Starter Kit, Deep Dish890 g",$5.49ea,$0.62/ 100g
bakery,Farmer's Market,"Loaf Cake, Golden","Farmer's MarketLoaf Cake, Golden390 g",$6.29ea,$1.61/ 100g
bakery,Weight Watchers,100% Whole Wheat Loaf,Weight Watchers100% Whole Wheat Loaf450 g,$4.79ea,$1.06/ 100g
bakery,,Chocolate Chunk Brownies,Chocolate Chunk Brownies175 g,$2.99ea,$2.72/ 100g
bakery,PC Blue Menu,100% Whole Wheat English Muffins,PC Blue Menu100% Whole Wheat English Muffins342 g,$3.09ea,$0.90/ 100g
bakery,,"100% Whole Wheat Bread, Sliced","100% Whole Wheat Bread, Sliced450 g",$2.99ea,$0.66/ 100g
bakery,Suraj,Naan Orginal 10 Pk,SurajNaan Orginal 10 Pk1 ea,$5.29ea,$5.29/ 1ea
bakery,School Safe,Muffin Bars Banana Chocolate Chip,School SafeMuffin Bars Banana Chocolate Chip296 g,$3.69ea,$1.25/ 100g
bakery,,"Sourdough Bread, Unsliced","Sourdough Bread, Unsliced675 g",$4.79ea,$0.71/ 100g
bakery,Rudolphs,Bavarian Rye Bread,RudolphsBavarian Rye Bread500 g,$4.29ea,$0.86/ 100g
