category,product_name,price,per_unit_price
produce,Papaya,$7.14(est.)ea,$5.49/ 1kg
produce,President's ChoiceSpring Mix0.312 kg,$6.99ea,$2.24/ 100g
produce,PC OrganicsBaby Spinach142 g,$5.99ea,$4.22/ 100g
produce,PC OrganicsOrganic Garlic115 g,$3.99ea,$3.47/ 100g
produce,PC OrganicsOrganic Sweet Potatoes 3lb Bag3 lb bag,$7.99ea,$0.59/ 100g
produce,"GreenhouseRaw, Organic Juice Gatsby300 ml",$7.49ea,$2.50/ 100ml
produce,ReneesRanch Refrigerated Dip283 g,$5.99ea,$2.12/ 100g
produce,Gourmet GardenItalian Herbs Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,BolthouseBerry Boost946 ml,$6.99ea,$0.74/ 100ml
produce,Italian Eggplants,$1.58(est.)ea,$8.80/ 1kg
produce,GoodLeafGood Leaf Baby Arugula142 g,$5.99ea,$4.22/ 100g
produce,Jamaican Ginger,$4.05(est.)ea,$17.61/ 1kg
produce,Wholly GuacamoleMinis227 g,$5.99ea,$2.64/ 100g
produce,7DDried Mangos140 g,$9.99ea,$7.14/ 100g
produce,PC Blue MenuBlue Menu Unsalted Virginia Peanuts454 g,$3.99ea,$0.88/ 100g
produce,President's ChoiceBacon Caesar Chop Salad Kit326 g,$6.49ea,$1.99/ 100g
produce,BolthouseAmazing Mango946 ml,$6.99ea,$0.74/ 100ml
produce,Fresh AttitudeSpring Mix Salad with Toppings Single Sized155 g,$5.99ea,$3.86/ 100g
produce, Strawberry Limeade4x355.0 ml,$10.99ea,$3.10/ 100ml
produce,Broccoli Cauli Peas Carrots392 g,$6.00ea,$1.53/ 100g
produce,Organic Pink Grapefruit Smoothie355 ml,$3.49ea,$0.98/ 100ml
produce,MannsSnap Peas227 g,$5.49ea,$2.42/ 100g
produce,Pineapple Cubed Large1 kg,$9.00ea,$1.16/ 100g
produce,Greenbelt Organic Fresh Mix0.142 kg,$5.99ea,$4.22/ 100g
produce,President's ChoiceCauliflower Slaw0.34 kg,$3.99ea,$1.17/ 100g
produce,"President's ChoiceLive Lettuce Red/Green, 2-pack1 ea",$5.49ea,$5.49/ 1ea
produce,PC OrganicsOrganics Portobello Mushroom Caps240 g,$5.99ea,$2.50/ 100g
produce,GreenhouseOrganic Shake Vanilla Almond Brekky300 ml,$7.49ea,$2.50/ 100g
produce,GreenhouseGinger Tumeric Kombucha340 ml,$4.99ea,$1.47/ 100ml
produce,AuroraSundried Tomatoes85 g,$2.99ea,$3.32/ 100g
produce,Large House Cheddar Salad648 g,$11.00ea,$1.70/ 100g
produce,Fruit Salad Large750 g,$9.00ea,$1.20/ 100g
produce,WellCold Pressed Juice Be Well  333 ml,$5.99ea,$1.80/ 100ml
produce,WellCold Pressed Juice Be Well  333 ml,$5.99ea,$1.80/ 100ml
produce,Greenhouse Fiery Ginger60 ml,$3.99ea,$6.65/ 100ml
produce,Hami Melons,$14.75(est.)ea,$5.05/ 1kg
produce,"Red Bananas, Bunch",$2.76(est.)ea,$3.73/ 1kg
produce,Cooking Spinach227 g,$3.49ea,$1.54/ 100g
produce,"President's ChoiceLive Lettuce Green, 2-pack1 ea",$5.49ea,$5.49/ 1ea
produce,Petite Carrots340 g,$3.49ea,$1.03/ 100g
produce,"Pineapple Vegetable Kebab, 4 pack764 g",$9.00ea,$1.18/ 100g
produce,Mini Greek Salad155 g,$5.00ea,$3.23/ 100g
produce,Golden Delicious Apples,$1.21(est.)ea,$5.49/ 1kg
produce,Organic Dried Apricots250 g,$5.99ea,$2.40/ 100g
produce,Greek Yogurt Parfait290 g,$5.00ea,$1.72/ 100g
produce,Organic Thyme Potted1 ea,$3.99ea,$3.99/ 1ea
produce,Organic Collard Greens1 bunch,$3.99ea,$3.99/ 1ea
produce,President's ChoiceCaesar Salad Kit282 g,$4.99ea,$1.77/ 100g
produce,Snack  Platter380 g,$7.00ea,$1.84/ 100g
produce,Black Figs1 ea,$1.29ea,$1.29/ 1ea
produce,Greek Chicken Salad Family Size1.415 kg,$16.00ea,$1.13/ 100g
produce,President's ChoiceFinger Hot Hot Peppers226 g,$5.99ea,$2.65/ 100g
produce,Seedless Watermelon Halves1 ea,$7.00ea,$7.00/ 1ea
produce,"No NameRoasted Peanuts, No Salt907 g",$6.99ea,$0.77/ 100g
produce,President's ChoiceSalted California Pistachios454 g,$9.99ea,$2.20/ 100g
produce,Carnival Squash,$8.96(est.)ea,$4.39/ 1kg
produce,"MarzettiVeggie Dip, Light Ranch340 g",$5.49ea,$1.61/ 100g
produce,Bard Valley Natural Delights Pitted Medjool Dates340 g,$9.99ea,$2.94/ 100g
produce,"Mushroom Kebab, 2 pack302 g",$5.00ea,$1.66/ 100g
produce,"MarzettiVeggie Dip, Spinach340 g",$5.49ea,$1.61/ 100g
produce,Small Cubed Cantaloupe300 g,$6.00ea,$2.00/ 100g
produce,"Garlic, Peeled250 g",$3.49ea,$1.40/ 100g
produce,Carrots & Cucumber 255 g,$4.00ea,$1.57/ 100g
produce,Farmer's MarketCortland Apples4 lb bag,$7.99ea,$0.44/ 100g
produce,President's ChoiceMini Sweet Potatoes1.5 lb bag,$4.99ea,$0.73/ 100g
produce,Premium Baby Spinach With Chicken294 g,$8.00ea,$2.72/ 100g
produce,Avocado Case2 kg case,$11.99ea,$0.60/ 100g
produce,Earthbound Farms OrganicOrganic Vegetable Tray with Ranch Dip 454 g,$8.99ea,$1.98/ 100g
produce,President's ChoiceGreen Beans340 g,$4.99ea,$1.47/ 100g
produce,Rutabaga,$4.52(est.)ea,$2.84/ 1kg
produce,Farmer's MarketSpartan Apples4 lb bag,$6.99ea,$0.39/ 100g
produce,"Chanterelle Mushrooms, Dried14 g",$5.49ea,$39.21/ 100g
produce,Anjou Pears,$1.58(est.)ea,$6.59/ 1kg
produce,Flavour Burst Sungold Golden Kiwi454 g,$5.99ea,$1.32/ 100g
produce,Organic Grape Tomatoes680 g,$7.99ea,$1.18/ 100g
produce,"Halloween Decorative Mini Corn, 3 Pack 1 ea",$1.99ea,$1.99/ 1ea
produce,PC OrganicsOrganics Whole Cremini Mushrooms227 g,$2.99ea,$1.32/ 100g
produce,PC OrganicsOrganic Yellow Potatoes3 lb bag,$5.49ea,$0.40/ 100g
produce,President's ChoiceCreamy Greek Pouch 44Ml44 ml,$0.59ea,$1.34/ 100ml
produce,Gold Cored Pineapple0.6 kg,$5.99ea,$1.00/ 100g
produce,"GreenhouseRaw, Organic Juice Farma-C300 ml",$7.49ea,$2.50/ 100ml
produce,Berry Berry Small295 g,$6.00ea,$0.60/ 100g
produce,Collard Greens1 bunch,$3.99ea,$3.99/ 1ea
produce,PC OrganicsOrganics Whole Oyster Mushrooms100 g,$3.99ea,$3.99/ 100g
produce,President's ChoiceChopped Mexican Style Street Corn Salad Kit285 g,$6.49ea,$2.28/ 100g
produce,PC OrganicsHoneycrisp Apples 3Lb Bag1.36 kg,$10.99ea,$0.81/ 100g
produce,President's ChoiceBlsmic Vin Pouch 45Ml45 ml,$0.59ea,$1.31/ 100ml
produce,President's ChoiceSweet Baby Lettuce142 g,$4.99ea,$3.51/ 100g
produce,Frisee Lettuce 2-pack200 g,$4.99ea,$2.50/ 100g
produce,Santa Claus Melons,$9.60(est.)ea,$5.05/ 1kg
produce,PC OrganicsRomaine Lettuce Hearts3 ea,$6.99ea,$2.33/ 1ea
produce,PC OrganicsOrganic Rosemary20 g,$2.99ea,
produce,"Farmer's MarketBartlett Pear, 2 L1 ea",$6.99ea,$6.99/ 1ea
produce,"Wonderful Pistachios, Shelled170 g",$8.99ea,$5.29/ 100g
produce,PC OrganicsOrganic Beefsteak Red Tomato,$2.67(est.)ea,$9.90/ 1kg
produce,Butternut Squash,$7.07(est.)ea,$4.39/ 1kg
produce,President's ChoiceOregano28 g,$2.50ea,
produce,PC OrganicsHand-Picked Gala Apples3 lb bag,$9.99ea,$0.73/ 100g
produce,"ParamountPistachios, Roasted Salted450 g",$11.99ea,$2.66/ 100g
produce,President's ChoiceLive Lettuce Boston1 ea,$2.99ea,$2.99/ 1ea
produce,Farmer's MarketRed Onions3 lb bag,$4.99ea,$0.37/ 100g
produce,Radicchio Lettuce,$4.10(est.)ea,$13.21/ 1kg
produce,Cobb with Cheddar Salad Mini165 g,$5.00ea,$3.03/ 100g
produce,RemedyKombucha Lemon Lime & Mint  700 ml,$4.99ea,$0.71/ 100ml
produce,Bolthouse100% Carrot946 ml,$6.99ea,$0.74/ 100ml
produce,Baby Spinach,$7.05(est.)ea,$17.62/ 1kg
produce,BolthouseGinger Carrot Turmeric1540 ml,$9.99ea,$0.65/ 100ml
produce,LitehouseDip Organic Ranch283 g,$5.49ea,$1.94/ 100g
produce,Premium Garden Vegetable With Cheese218 g,$8.00ea,$3.67/ 100g
produce,PC OrganicsOrganics Baby Cut Carrots2 lb,$5.99ea,$0.66/ 100g
produce,Roasted Corn & Pepper Quinoa,$9.20(est.)ea,$21.90/ 1kg
produce,Wholly GuacamoleChunky Bowl 213 g,$4.99ea,$2.34/ 100g
produce,Turmeric,$4.32(est.)ea,$30.84/ 1kg
produce,Tiffany GatesClassic Coleslaw,$21.90/1 kg,$21.90/ 1kg
produce,White Onion,$2.44(est.)ea,$6.59/ 1kg
produce,Popeye Select Spinach1 kg,$11.99ea,$1.06/ 100g
produce,GreenhouseFiery Ginger Juice240 ml,$14.99ea,$6.25/ 100ml
produce,"Taylor FarmsChopped Salad Kit, Thai Style Chili Mango319 g",$6.49ea,$2.03/ 100g
produce,Chicken BLT Salad Mini145 g,$5.00ea,$3.45/ 100g
produce,PC OrganicsOrganic Field Greens & Baby Spinach - Salad Mix312 g,$7.99ea,$2.56/ 100g
produce,Organic Mini Watermelon2.1 kg,$8.99ea,$8.99/ 1ea
produce,Colossal Garlic,$1.98(est.)ea,$19.82/ 1kg
produce,"Corn Pepper Zucchini Red Pepper Kebab, 4 pack884 g",$9.00ea,$1.02/ 100g
produce,PC OrganicsOrganic Honeycrisp Apples,$2.77(est.)ea,$11.00/ 1kg
produce,"No NameRaw, Unsalted Pumpkin Seeds100 g",$1.99ea,$1.99/ 100g
produce,Oyster Mushrooms,$0.72/25 g,$2.86/ 100g
produce,Mixed Melon Cubed Large1 kg,$8.00ea,$1.48/ 100g
produce,Strawberry Parfait290 g,$5.00ea,$1.92/ 100g
produce,GoodLeafPea Shoots50 g,$3.99ea,$7.98/ 100g
produce,Turnips,$2.50(est.)ea,$6.59/ 1kg
produce,President's ChoicePoppyseed Pouch 44Ml44 ml,$0.59ea,$1.34/ 100ml
produce,Cobb with Cheddar Salad Mini165 g,$5.00ea,$3.03/ 100g
produce,RemedyKombucha Lemon Lime & Mint  700 ml,$4.99ea,$0.71/ 100ml
produce,Bolthouse100% Carrot946 ml,$6.99ea,$0.74/ 100ml
produce,Baby Spinach,$7.05(est.)ea,$17.62/ 1kg
produce,BolthouseGinger Carrot Turmeric1540 ml,$9.99ea,$0.65/ 100ml
produce,LitehouseDip Organic Ranch283 g,$5.49ea,$1.94/ 100g
produce,PC OrganicsOrganics Baby Cut Carrots2 lb,$5.99ea,$0.66/ 100g
produce,Roasted Corn & Pepper Quinoa,$9.20(est.)ea,$21.90/ 1kg
produce,The Little Potato CompanyOven BBQ Ready Garlic Herb Potatoes454 g,$4.99ea,$1.10/ 100g
produce,Pineapple/Straws Large600 g,$8.00ea,$1.33/ 100g
produce,Large House Salad658 g,$11.00ea,$1.67/ 100g
produce,"GreenhouseRaw, Organic Juice Deep Roots300 ml",$7.49ea,$2.50/ 100ml
produce,"Halloom Pineapple Kebab, 4 pack804 g",$9.00ea,$1.12/ 100g
produce,MarzettiCaramel Dip227 g,$5.49ea,$2.42/ 100g
produce,PC OrganicsOrganic Lime1 lb bag,$6.99ea,$1.54/ 100g
produce,President's ChoiceSouthwest Salad Kit369 g,$6.49ea,$1.76/ 100g
produce,"Morel Mushrooms, Dried14 g",$12.99ea,$92.79/ 100g
produce,Farmer's MarketCarrot Chips454 g,$2.99ea,$0.66/ 100g
produce,Carrots & Snap Peas 250 g,$4.00ea,$1.60/ 100g
produce,Oyster Mushrooms,$0.72/25 g,$2.86/ 100g
produce,Mixed Melon Cubed Large1 kg,$8.00ea,$1.48/ 100g
produce,Strawberry Parfait290 g,$5.00ea,$1.92/ 100g
produce,Chicken BLT Salad Mini145 g,$5.00ea,$3.45/ 100g
produce,PC OrganicsOrganic Field Greens & Baby Spinach - Salad Mix312 g,$7.99ea,$2.56/ 100g
produce,Organic Mini Watermelon2.1 kg,$8.99ea,$8.99/ 1ea
produce,Colossal Garlic,$1.98(est.)ea,$19.82/ 1kg
produce,"Corn Pepper Zucchini Red Pepper Kebab, 4 pack884 g",$9.00ea,$1.02/ 100g
produce,PC OrganicsOrganic Honeycrisp Apples,$2.77(est.)ea,$11.00/ 1kg
produce,"No NameRaw, Unsalted Pumpkin Seeds100 g",$1.99ea,$1.99/ 100g
produce,GoodLeafPea Shoots50 g,$3.99ea,$7.98/ 100g
produce,President's ChoiceKale Slaw340 g,$3.99ea,$1.17/ 100g
produce,Gourmet GardenBasil Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,Sweet Nantes Carrots467 g,$3.49ea,$0.75/ 100g
produce,PC OrganicsOrganic Peppers Mini 227G227 g,$5.99ea,$2.64/ 100g
produce,Cortland Apples,$1.15(est.)ea,$5.49/ 1kg
produce,Premium Baby Spinach With Fruit & Nuts296 g,$8.00ea,$2.70/ 100g
produce,Red Anjou Pears,$1.54(est.)ea,$6.59/ 1kg
produce,"Spinach, Kale, Celery Juice1 ea",$13.00ea,$13.00/ 1ea
produce,White Asparagus,$6.16(est.)ea,$15.41/ 1kg
produce,Organic Orange907 g,$6.99ea,$0.77/ 100g
produce,President's ChoiceRed Potatoes5 lb bag,$5.99ea,$0.26/ 100g
produce,Brussels Sprouts,$0.26(est.)ea,$8.80/ 1kg
produce,President's ChoiceWhite Potatoes5 lb bag,$5.49ea,$0.24/ 100g
produce,Snow Peas200 g,$4.99ea,$2.50/ 100g
produce,President's ChoiceLive Lettuce Tri Mix - 1 Unit350 g,$3.99ea,$3.99/ 1ea
produce,PC OrganicsOrganic Roma Tomatoes454 g,$4.99ea,$1.10/ 100g
produce,Endive300 g,$5.99ea,$2.00/ 100g
produce,Broccolini1 bunch,$3.49ea,$3.49/ 1ea
produce,"Pumpkin, Large1 ea",$5.99ea,$5.99/ 1ea
produce,No NameNaturally Imperfect Limes907 g,$6.99ea,$0.77/ 100g
produce,Farmer's MarketWhite Potatoes10 lb bag,$5.99ea,$0.13/ 100g
produce,President's ChoiceMini Sweet Peppers454 g,$5.99ea,$1.32/ 100g
produce,PC OrganicsOrganic Lemons2 lb bag,$7.99ea,$0.88/ 100g
produce,Envy Apples,$1.32(est.)ea,$6.59/ 1kg
produce,PC OrganicsOrganic Cooking Onions2 lb bag,$4.99ea,$0.55/ 100g
produce,Farmer's MarketGrape Tomato 907G    908 g,$5.99ea,$0.66/ 100g
produce,Yellow Asian Pears,$2.82(est.)ea,$8.80/ 1kg
