category,brand,product,product_name,price,per_unit_price
produce,President's Choice,Finger Hot Hot Peppers,President's ChoiceFinger Hot Hot Peppers226 g,$4.00ea,$1.77/ 100g
produce,,SweeTango Apples,SweeTango Apples,$1.15(est.)ea,$5.49/ 1kg
produce,,Long Beans,Long Beans,$0.44/50 g,$0.88/ 100g
produce,7D,Dried Mangos,7DDried Mangos140 g,$5.99ea,$4.28/ 100g
produce,Bolthouse,Strawberry Banana,BolthouseStrawberry Banana450 ml,$3.99ea,$0.89/ 100ml
produce,President's Choice,Whole Cremini Mushrooms,President's ChoiceWhole Cremini Mushrooms227 g,$2.79ea,$1.23/ 100g
produce,,Thai Green Chili Peppers,Thai Green Chili Peppers,$0.77(est.)ea,$11.00/ 1kg
produce,,Jamaican Pumpkin,Jamaican Pumpkin,$4.26(est.)ea,$2.84/ 1kg
produce,,Jamaican Sweet Potatoes,Jamaican Sweet Potatoes,$3.52(est.)ea,$8.80/ 1kg
produce,President's Choice,Caesar Salad Kit,President's ChoiceCaesar Salad Kit282 g,$4.99ea,$1.77/ 100g
produce,,Cooking Spinach,Cooking Spinach227 g,$2.99ea,$1.32/ 100g
produce,Farmer's Market,Granny Smith Apples,Farmer's MarketGranny Smith Apples4 lb bag,$7.99ea,$0.44/ 100g
produce,,Villagio Marzano Tomatoes,Villagio Marzano Tomatoes681 g,$7.00ea,$10.28/ 1kg
produce,,Red Carrots,Red Carrots,$3.71(est.)ea,$5.49/ 1kg
produce,PC Organics,Organic Peppers,PC OrganicsOrganic Peppers2 pack,$4.49ea,$2.25/ 1ea
produce,,Japanese Yams,Japanese Yams,$5.22(est.)ea,$5.49/ 1kg
produce,Gourmet Garden,Italian Herbs Stir-In Paste,Gourmet GardenItalian Herbs Stir-In Paste115 g,$4.99ea,$4.34/ 100g
produce,,Black Mission Figs,Black Mission Figs227 g,$4.99ea,$2.20/ 100g
produce,Bolthouse,Amazing Mango,BolthouseAmazing Mango946 ml,$6.49ea,$0.69/ 100ml
produce,Renees,Ranch Refrigerated Dip,ReneesRanch Refrigerated Dip283 g,$4.99ea,$1.76/ 100g
produce,President's Choice,Dill,President's ChoiceDill28 g,$2.49ea,
produce,,Campari Tomatoes 1lb,Campari Tomatoes 1lb454 g,$2.99ea,$0.66/ 100g
produce,Bolthouse,Berry Boost Juice,BolthouseBerry Boost Juice450 ml,$3.99ea,$0.89/ 100ml
produce,PC Organics,Organic Field Greens & Baby Spinach - Salad Mix,PC OrganicsOrganic Field Greens & Baby Spinach - Salad Mix142 g,$4.49ea,$3.16/ 100g
produce,President's Choice,Salted California Pistachios,President's ChoiceSalted California Pistachios454 g,$9.99ea,$2.20/ 100g
produce,President's Choice,Broccoli Florets,President's ChoiceBroccoli Florets340 g,$3.99ea,$1.17/ 100g
produce,,Baby Bok Choy,Baby Bok Choy,$3.33(est.)ea,$5.05/ 1kg
produce,,"Chinese Carrots, Jumbo","Chinese Carrots, Jumbo",$2.61(est.)ea,$3.51/ 1kg
produce,President's Choice,Portobello Mushroom Caps,President's ChoicePortobello Mushroom Caps4 pack,$4.99ea,$2.38/ 100g
produce,President's Choice,Mixed Greens,President's ChoiceMixed Greens0.34 kg,$3.49ea,$1.03/ 100g
produce,,Chinese Okra,Chinese Okra,$0.82(est.)ea,$5.49/ 1kg
produce,President's Choice,Sliced Cremini Mushrooms,President's ChoiceSliced Cremini Mushrooms227 g,$2.79ea,$1.23/ 100g
produce,Farmer's Market,Red Onions,Farmer's MarketRed Onions3 lb bag,$3.99ea,$0.29/ 100g
produce,,Fresh Coconut Young,Fresh Coconut Young1 ea,$4.49ea,$4.49/ 1ea
produce,,Pearl Onion,Pearl Onion250 g,$2.49ea,$1.00/ 100g
produce,,Bhindi/Okra,Bhindi/Okra,$3.29(est.)ea,$6.59/ 1kg
produce,Farmer's Market,Yellow Potato 10lb Bag,Farmer's MarketYellow Potato 10lb Bag10 lb bag,$5.99ea,$0.13/ 100g
produce,,Taiwanese Flat Cabbage,Taiwanese Flat Cabbage,$3.21(est.)ea,$2.84/ 1kg
produce,,Purple Eggplants,Purple Eggplants,$3.76(est.)ea,$6.59/ 1kg
produce,,"Garlic, Peeled","Garlic, Peeled250 g",$2.99ea,$1.20/ 100g
produce,,"Greenhouse Peppers, Yellow","Greenhouse Peppers, Yellow",$2.20(est.)ea,$8.80/ 1kg
produce,President's Choice,Sliced White Mushrooms,President's ChoiceSliced White Mushrooms227 g,$2.79ea,$1.23/ 100g
produce,Taylor Farms,"Chopped Salad Kit, Dill Pickle","Taylor FarmsChopped Salad Kit, Dill Pickle341 g",$5.49ea,$1.65/ 100g
produce,,Heirloom Ontario Garlic,Heirloom Ontario Garlic115 g,$2.99ea,$2.60/ 100g
produce,,"Wonderful Pistachios, Shelled","Wonderful Pistachios, Shelled170 g",$7.99ea,$4.70/ 100g
produce,President's Choice,Autumn Crisp Green Grapes,President's ChoiceAutumn Crisp Green Grapes907 g,$6.99ea,$0.77/ 100g
produce,Paramount,Pistachios No Shells Honey Roasted,ParamountPistachios No Shells Honey Roasted155 g,$7.99ea,$5.15/ 100g
produce,President's Choice,Finger Hot Hot Peppers,President's ChoiceFinger Hot Hot Peppers226 g,$4.00ea,$1.77/ 100g
produce,,Santa Claus Melons,Santa Claus Melons,$5.25(est.)ea,$2.76/ 1kg
produce,Taylor Farms,"Chopped Salad Kit, Steakhouse","Taylor FarmsChopped Salad Kit, Steakhouse365 g",$5.49ea,$1.50/ 100g
produce,President's Choice,Tarragon,President's ChoiceTarragon28 g,$2.49ea,
produce,President's Choice,Chopped Mexican Style Street Corn Salad Kit,President's ChoiceChopped Mexican Style Street Corn Salad Kit285 g,$5.49ea,$1.93/ 100g
produce,Farmer's Market,Honeycrisp Apples,Farmer's MarketHoneycrisp Apples4 lb bag,$7.99ea,$0.44/ 100g
produce,,Thai Green Chili Peppers,Thai Green Chili Peppers,$0.77(est.)ea,$11.00/ 1kg
produce,,Cubanelle Peppers,Cubanelle Peppers,$1.50(est.)ea,$8.80/ 1kg
produce,President's Choice,Caesar Salad Kit,President's ChoiceCaesar Salad Kit282 g,$4.99ea,$1.77/ 100g
produce,President's Choice,Loads Of Garlic Caesar Salad Kit,President's ChoiceLoads Of Garlic Caesar Salad Kit319 g,$5.49ea,$1.72/ 100g
produce,Farmer's Market,Mango Red 3Ct,Farmer's MarketMango Red 3Ct3 ea,$3.69ea,$1.23/ 1ea
produce,,Medjool Dates,Medjool Dates454 g,$7.99ea,$1.76/ 100g
produce,President's Choice,Green Thai Hot Peppers,President's ChoiceGreen Thai Hot Peppers75 g,$4.00ea,$5.33/ 100g
produce,President's Choice,Mixed Nuts,President's ChoiceMixed Nuts0.454 kg,$4.99ea,$1.10/ 100g
produce,,Spaghetti Squash,Spaghetti Squash,$2.75(est.)ea,$2.18/ 1kg
produce,,Opo Squash,Opo Squash,$1.79(est.)ea,$2.84/ 1kg
produce,,Dates Medjool,Dates Medjool907 g,$12.99ea,$1.43/ 100g
produce,President's Choice,Oregano,President's ChoiceOregano28 g,$2.49ea,
produce,,Black Mission Figs,Black Mission Figs227 g,$4.99ea,$2.20/ 100g
produce,,Ataulfo Mango,Ataulfo Mango1 ea,$1.49ea,$1.49/ 1ea
produce,Paramount,Pistachios No Shells Roasted Light Salt,ParamountPistachios No Shells Roasted Light Salt170 g,$7.99ea,$4.70/ 100g
produce,President's Choice,Salted Virginia Peanuts,President's ChoiceSalted Virginia Peanuts454 g,$3.50ea,$0.77/ 100g
produce,,Red Grapefruit,Red Grapefruit1 ea,$1.09ea,$1.09/ 1ea
produce,President's Choice,Sliced Portobello Mushrooms,President's ChoiceSliced Portobello Mushrooms170 g,$4.49ea,$2.64/ 100g
produce,President's Choice,Green Beans,President's ChoiceGreen Beans340 g,$3.99ea,$1.17/ 100g
produce,PC Organics,Organic Field Greens & Baby Spinach - Salad Mix,PC OrganicsOrganic Field Greens & Baby Spinach - Salad Mix142 g,$4.49ea,$3.16/ 100g
produce,President's Choice,Garden Salad,President's ChoiceGarden Salad0.34 kg,$3.49ea,$1.03/ 100g
produce,President's Choice,Bacon Caesar Chop Salad Kit,President's ChoiceBacon Caesar Chop Salad Kit326 g,$5.49ea,$1.68/ 100g
produce,PC Organics,Hand-Picked Gala Apples,PC OrganicsHand-Picked Gala Apples3 lb bag,$6.99ea,$0.51/ 100g
produce,,Radicchio Lettuce,Radicchio Lettuce,$2.73(est.)ea,$8.80/ 1kg
produce,,Organic Grape Tomatoes,Organic Grape Tomatoes680 g,$6.99ea,$1.03/ 100g
produce,Farmer's Market,Red Onions,Farmer's MarketRed Onions3 lb bag,$3.99ea,$0.29/ 100g
produce,Farmer's Market,Corn On The Cob,Farmer's MarketCorn On The Cob4 pack,$3.99ea,$1.00/ 1ea
produce,,Fresh Coconut Young,Fresh Coconut Young1 ea,$4.49ea,$4.49/ 1ea
produce,,Anjou Pears,Anjou Pears,$1.32(est.)ea,$5.49/ 1kg
produce,,Jamaican Aloe,Jamaican Aloe,$1.74(est.)ea,$3.28/ 1kg
produce,,Jicama,Jicama,$3.99(est.)ea,$3.73/ 1kg
produce,,"Spinach, Bunched","Spinach, Bunched1 ea",$2.49ea,$2.49/ 1ea
produce,,Collard Greens,Collard Greens1 bunch,$3.99ea,$3.99/ 1ea
produce,PC Blue Menu,Blue Menu Unsalted Virginia Peanuts,PC Blue MenuBlue Menu Unsalted Virginia Peanuts454 g,$3.50ea,$0.77/ 100g
produce,,Purple Eggplants,Purple Eggplants,$3.76(est.)ea,$6.59/ 1kg
produce,,Organic Bartlett Pears,Organic Bartlett Pears3 lb bag,$6.99ea,$0.51/ 100g
produce,,"Carrots, Bunched","Carrots, Bunched1 bunch",$2.49ea,$2.49/ 1ea
produce,,Golden Delicious Apples,Golden Delicious Apples,$0.97(est.)ea,$4.39/ 1kg
produce,President's Choice,Salted California Pistachios,President's ChoiceSalted California Pistachios225 g,$4.99ea,$2.22/ 100g
produce,Farmer's Market,Cortland Apples,Farmer's MarketCortland Apples4 lb bag,$5.99ea,$0.33/ 100g
produce,,Heirloom Ontario Garlic,Heirloom Ontario Garlic115 g,$2.99ea,$2.60/ 100g
produce,,"Wonderful Pistachios, Shelled","Wonderful Pistachios, Shelled170 g",$7.99ea,$4.70/ 100g
produce,President's Choice,Southwest Salad Kit,President's ChoiceSouthwest Salad Kit369 g,$5.49ea,$1.49/ 100g
produce,,Field Cucumbers,Field Cucumbers1 ea,$1.49ea,$1.49/ 1ea
produce,,White Onion,White Onion,$2.03(est.)ea,$5.49/ 1kg
produce,Wholly Guacamole,Chunky Bowl ,Wholly GuacamoleChunky Bowl 213 g,$4.99ea,$2.34/ 100g
produce,,Fenugreek,Fenugreek1 bunch,$1.99ea,$1.99/ 1ea
produce,President's Choice,Romaine Salad,President's ChoiceRomaine Salad0.255 kg,$3.49ea,$1.37/ 100g
produce,,Tamarinds,Tamarinds500 g,$4.99ea,$1.00/ 100g
produce,,Organic Orange,Organic Orange907 g,$5.99ea,$0.66/ 100g
produce,,Star Fruit,Star Fruit1 ea,$2.99ea,$2.99/ 1ea
produce,PC Organics,Organics Baby Cut Carrots,PC OrganicsOrganics Baby Cut Carrots2 lb,$4.99ea,$0.55/ 100g
produce,President's Choice,Kaki Persimmons,President's ChoiceKaki Persimmons1 ea,$1.49ea,$1.49/ 1ea
produce,,Red Delicious Apples,Red Delicious Apples,$0.92(est.)ea,$4.39/ 1kg
produce,,Bok Choy,Bok Choy,$1.74(est.)ea,$2.18/ 1kg
produce,Bolthouse,Daily Greens,BolthouseDaily Greens946 ml,$6.49ea,$0.69/ 100ml
produce,,Turnips,Turnips,$1.92(est.)ea,$5.05/ 1kg
produce,,Mango Spice,Mango Spice,$2.75(est.)ea,$11.00/ 1kg
produce,,Kohlrabi,Kohlrabi,$2.69(est.)ea,$5.49/ 1kg
produce,No Name,Naturally Imperfect Limes,No NameNaturally Imperfect Limes907 g,$5.00ea,$0.55/ 100g
produce,PC Organics,Organics Baby Spinach,PC OrganicsOrganics Baby Spinach312 g,$4.99ea,$1.60/ 100g
produce,Eat Smart,Sweet Kale Salad Kit,Eat SmartSweet Kale Salad Kit340 g,$5.49ea,$1.61/ 100g
produce,Bolthouse,100% Carrot,Bolthouse100% Carrot946 ml,$6.49ea,$0.69/ 100ml
produce,,Dates Medjool,Dates Medjool907 g,$12.99ea,$1.43/ 100g
produce,,"Portobello Mushrooms, Bulk","Portobello Mushrooms, Bulk",$1.59(est.)ea,$13.21/ 1kg
produce,Gourmet Garden,Basil Stir-In Paste,Gourmet GardenBasil Stir-In Paste115 g,$4.99ea,$4.34/ 100g
produce,Remedy,Kombucha Lemon Lime & Mint  ,RemedyKombucha Lemon Lime & Mint  700 ml,$4.99ea,$0.71/ 100ml
