category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
seafood,,"Fresh Tilapia Fillets, Packaged","Fresh Tilapia Fillets, Packaged",$6.03(est.)ea,,$25.33/ 1kg,False
seafood,,Steelhead Trout Fillet,Steelhead Trout Fillet,$12.96(est.)ea,,$37.46/ 1kg,False
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen125 g",$10.99ea,,$9.73/ 100g,False
seafood,Sardo,Marinated Seafood Salad,SardoMarinated Seafood Salad500 ml,$9.99ea,,$2.00/ 100ml,False
seafood,President's Choice,Butter & Lemon Grilling Lobster Tail Skewers,President's ChoiceButter & Lemon Grilling Lobster Tail Skewers200 g,$15.99ea,,$8.00/ 100g,False
seafood,President's Choice,Black Tiger Shrimp Raw Gigantico,President's ChoiceBlack Tiger Shrimp Raw Gigantico400 g,$16.99ea,,$4.25/ 100g,False
seafood,,Calamari With Stuffing,Calamari With Stuffing,$9.75(est.)ea,,$22.02/ 1kg,False
seafood,,"Cherrystone Clams, Live","Cherrystone Clams, Live",$15.29(est.)ea,,$13.21/ 1kg,False
seafood,Toppits,"Frozen Lobster Meat, Cooked","ToppitsFrozen Lobster Meat, Cooked150 g",$28.99ea,,$19.33/ 100g,False
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen95 g",$8.99ea,,$9.46/ 100g,False
seafood,PC Blue Menu,"Wild Nova Scotian Sea Scallops, Frozen","PC Blue MenuWild Nova Scotian Sea Scallops, Frozen400 g",$25.99ea,,$6.50/ 100g,False
seafood,,"Fresh Atlantic Salmon Portion, Maple Flavour Packaged","Fresh Atlantic Salmon Portion, Maple Flavour Packaged1 ea",$5.99ea,,$5.99/ 1ea,False
seafood,Toppits,"Tempura Shrimp, Oven Ready","ToppitsTempura Shrimp, Oven Ready500 g",$12.99ea,,$2.60/ 100g,False
seafood,President's Choice,Raw Zipperback Shrimp Grilling,President's ChoiceRaw Zipperback Shrimp Grilling454 g,$18.99ea,,$4.18/ 100g,False
seafood,President's Choice,Black Tiger Shrimp With Mild Cocktail Sauce Gigantico,President's ChoiceBlack Tiger Shrimp With Mild Cocktail Sauce Gigantico568 g,$27.99ea,,$4.93/ 100g,False
seafood,President's Choice,Melt In The Middle Sustainably Sourced Cod Fish Cakes,President's ChoiceMelt In The Middle Sustainably Sourced Cod Fish Cakes290 g,$9.99ea,,$3.44/ 100g,False
seafood,,Cooked Octopus Tentacles ,Cooked Octopus Tentacles 250 g,$19.99ea,,$8.00/ 100g,False
seafood,,"Rock Lobster Tail, 10-12 oz","Rock Lobster Tail, 10-12 oz100 ea",$34.99ea,,$34.99/ 1ea,False
seafood,PC Organics,Organic Zipperback Shrimp,PC OrganicsOrganic Zipperback Shrimp300 g,$14.99ea,,$5.00/ 100g,False
seafood,Foppen,Smoked Salmon Toast Trio,FoppenSmoked Salmon Toast Trio248 g,$15.99ea,,$6.45/ 100g,False
seafood,Sardo,Select Shrimp Herb & Garlic Marinated ,SardoSelect Shrimp Herb & Garlic Marinated 212 g,$9.49ea,,$3.80/ 100ml,False
seafood,Foppen,Smoked Salmon Toast Trio,FoppenSmoked Salmon Toast Trio248 g,$15.99ea,,$6.45/ 100g,False
seafood,Sardo,Select Shrimp Herb & Garlic Marinated ,SardoSelect Shrimp Herb & Garlic Marinated 212 g,$9.49ea,,$3.80/ 100ml,False
seafood,High Liner,Catch of the Day Haddock Fillets 5,High LinerCatch of the Day Haddock Fillets 5580 g,$16.99ea,,$2.93/ 100g,False
seafood,Anchor Bay,Mussel Meat,Anchor BayMussel Meat340 g,$5.99ea,,$1.76/ 100g,False
seafood,Feature Foods,Herring Fillets in Wine Marinade,Feature FoodsHerring Fillets in Wine Marinade320 g,$5.99ea,,$1.87/ 100g,False
seafood,Paese Mio,Anchovies,Paese MioAnchovies80 g,$4.49ea,,$5.99/ 100g,False
seafood,Seaquest,Basa Fillets,SeaquestBasa Fillets400 g,$8.99ea,,$2.25/ 100g,False
seafood,Paese Mio,Peppered Anchovies In Sun Flower Oil,Paese MioPeppered Anchovies In Sun Flower Oil314 g,$7.99ea,,$2.54/ 100g,False
seafood,President's Choice,Breaded Cod Bites With Sauce,President's ChoiceBreaded Cod Bites With Sauce454 g,$13.99ea,,$3.08/ 100g,False
seafood,President's Choice,Wild Atlantic Cod Fillets ,President's ChoiceWild Atlantic Cod Fillets 280 g,$9.99ea,,$3.57/ 100g,False
seafood,,Cooked Lobster Tray Pack,Cooked Lobster Tray Pack,$25.54(est.)ea,,$41.87/ 1kg,False
seafood,,BC Rockfish Fillets,BC Rockfish Fillets,$7.42(est.)ea,,$28.64/ 1kg,False
