merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
FreshCo,,Nescafe Gold Instant Coffee 90-100g or Sweet and Creamy 18 pk or Taster's Choice 100 g,,5.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c3234428-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Folgers K-Cups 12 pk,,6.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c26d26f2-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Takis 190-280g,,2.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c29ebca8-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,AHA Sparkling Water 12x355 mL Coca-Cola Mini Bottles 8x300 mL,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016762/1675792698/extra_large.jpg
FreshCo,,Air Wick Essential Mist Refill 20 mL or Lysol Wipes 75-84pk,,5.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c2652754-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Simply Orange Juice 1.54 L,,3.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4725abc-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Yoplait Tubes 8 pk Yoplait Minigo 6 pk,,2.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c328d49c-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Nestea Iced Tea 1.75 L or Fruitopia Drinks 1.75 L,,1.79,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016764/1675792699/extra_large.jpg
FreshCo,,Simply Lemonade or Gold Peak Beverage 1.54-175 L,,3.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4a85cac-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,"Nature Valley Chewy Bars 148-210 g, Fibre 1 Bars 125-175 g Mott's Fruitsations or Betty Crocker Fruit Shapes 226 g Selected Varieties",,2.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016768/1675792702/extra_large.jpg
FreshCo,,Simply Orange Juice 2.63L,,5.79,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4b1fd70-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Gold Peak Beverages 2.63 L,,5.49,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4ea2b46-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,General Mills Cereal Selected 300-437 g or Chex Cereal 340-395 g,,7.0,2/,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016771/1675792705/extra_large.jpg
